discussion: ['discussion', 'discussions']
modification: ['modification', 'modifications']
world: ['worlds', 'world']
jump: ['jumps', 'jump']
level: ['level', 'levels']
combination: ['combination', 'combinations']
relationship: ['relationship', 'relationships']
go: ['goes', 'go']
system: ['systems', 'system']
service: ['services', 'service']
error: ['error', 'errors']
book: ['book', 'books']
method: ['method', 'methods']
note: ['note', 'notes']
parameter: ['parameter', 'parameters']
concept: ['concept', 'concepts']
word: ['words', 'word']
connection: ['connection', 'connections']
representation: ['representation', 'representations']
message: ['message', 'messages']
phrase: ['phrase', 'phrases']
year: ['years', 'year']
entry: ['entry', 'entries']
priority: ['priorities', 'priority']
browse: ['browses', 'browse']
destination: ['destinations', 'destination']
value: ['values', 'value']
node: ['nodes', 'node']
possibility: ['possibility', 'possibilities']
standard: ['standard', 'standards']
article: ['articles', 'article']
form: ['form', 'forms']
sort: ['sort', 'sorts']
file: ['file', 'files']
section: ['sections', 'section']
result: ['results', 'result']
base: ['base', 'bases']
product: ['product', 'products']
link: ['links', 'link']
budget: ['budget', 'budgets']
need: ['need', 'needs']
module: ['modules', 'module']
make: ['make', 'makes']
party: ['parties', 'party']
return: ['return', 'returns']
area: ['area', 'areas']
attribute: ['attribute', 'attributes']
tutorial: ['tutorials', 'tutorial']
one: ['one', 'ones']
relation: ['relations', 'relation']
parser: ['parser', 'parsers']
direction: ['directions', 'direction']
version: ['version', 'versions']
position: ['position', 'positions']
delta: ['deltas', 'delta']
keep: ['keep', 'keeps']
margin: ['margins', 'margin']
way: ['way', 'ways']
letter: ['letter', 'letters']
anchor: ['anchor', 'anchors']
sheet: ['sheet', 'sheets']
server: ['server', 'servers']
attempt: ['attempt', 'attempts']
rule: ['rule', 'rules']
code: ['code', 'codes']
space: ['spaces', 'space']
graphic: ['graphics', 'graphic']
domain: ['domains', 'domain']
conference: ['conference', 'conferences']
application: ['application', 'applications']
strip: ['strips', 'strip']
sign: ['sign', 'signs']
source: ['sources', 'source']
come: ['comes', 'come']
command: ['commands', 'command']
content: ['content', 'contents']
feature: ['features', 'feature']
want: ['want', 'wants']
start: ['start', 'starts']
lot: ['lots', 'lot']
store: ['store', 'stores']
trace: ['traces', 'trace']
question: ['question', 'questions']
publisher: ['publisher', 'publishers']
function: ['function', 'functions']
extension: ['extensions', 'extension']
protocol: ['protocol', 'protocols']
terminal: ['terminals', 'terminal']
digit: ['digits', 'digit']
list: ['list', 'lists']
case: ['cases', 'case']
communication: ['communication', 'communications']
index: ['index', 'indexes']
